signup_date,rate,category,international_win,international_lose,international_draw,turkish_win,turkish_lose,turkish_draw
2020-01-27,1664,Class B,50,44,1,58,60,1
2020-01-27,1440,Class C,46,60,1,47,43,1
2020-01-27,1504,Class C,46,60,1,51,43,1
2020-01-29,1680,Class B,63,56,1,45,47,1
2020-01-30,1488,Class C,50,58,1,47,46,1
2020-01-30,1680,Class B,59,55,1,50,49,1
2020-01-31,1488,Class C,49,57,1,48,47,1
2020-02-02,1600,Class B,51,59,1,53,45,1
2020-02-03,1744,Class B,50,43,1,62,60,1
2020-02-03,1776,Class B,57,52,1,57,51,1
2020-02-05,1536,Class C,54,53,1,46,51,1
2020-02-09,1824,Class A,69,47,1,47,55,1
2020-02-10,1696,Class B,56,56,1,54,48,1
2020-02-11,1344,Class D,44,44,1,44,60,1
2020-02-11,1792,Class B,56,51,1,59,52,1
2020-02-16,1392,Class D,50,43,1,41,61,1
2020-02-16,1424,Class C,39,56,1,53,47,1
2020-02-18,1792,Class B,69,53,1,47,51,1
2020-02-18,1648,Class B,65,52,1,41,51,1
2020-02-18,1648,Class B,54,58,1,53,46,1
2020-02-19,1808,Class A,60,60,1,55,42,1
2020-02-20,1408,Class C,38,54,1,54,50,1
2020-02-20,2000,Expert,69,46,1,49,47,1
2020-02-21,1696,Class B,48,52,1,61,51,1
2020-02-21,1632,Class B,59,49,1,47,55,1
2020-02-24,1424,Class C,43,51,1,49,52,1
2020-02-24,1744,Class B,58,53,1,52,48,1
2020-02-24,1776,Class B,52,64,1,63,40,1
2020-02-25,1296,Class D,33,52,1,51,51,1
2020-02-27,1520,Class C,42,58,1,56,45,1
2020-02-28,1919,Class A,55,48,1,63,50,1
2020-02-28,1568,Class C,42,53,1,59,50,1
2020-02-28,1536,Class C,53,55,1,46,48,1
2020-02-29,1360,Class D,45,50,1,44,54,1
2020-02-29,1584,Class C,51,51,1,52,53,1
2020-03-01,1520,Class C,60,69,1,38,34,1
2020-03-01,1360,Class D,43,43,1,46,61,1
2020-03-02,1456,Class C,35,49,1,59,54,1
2020-03-02,1615,Class B,56,41,1,49,63,1
2020-03-03,1216,Class D,42,54,1,37,49,1
2020-03-05,1264,Class D,42,58,1,40,45,1
2020-03-06,1440,Class C,50,45,1,44,59,1
2020-03-07,1344,Class D,46,53,1,41,50,1
2020-03-08,1312,Class D,48,53,1,38,51,1
2020-03-08,1712,Class B,49,40,1,60,62,1
2020-03-08,1648,Class B,56,56,1,51,48,1
2020-03-08,1568,Class C,50,55,1,51,48,1
2020-03-08,1840,Class A,56,54,1,53,40,1
2020-03-08,1536,Class C,48,55,1,51,48,1
2020-03-09,1888,Class A,62,50,1,60,54,1
2020-03-10,1760,Class B,53,52,1,60,51,1
2020-03-14,1552,Class C,50,57,1,51,47,1
2020-03-16,1855,Class A,59,50,1,55,48,1
2020-03-17,1552,Class C,45,50,1,55,53,1
2020-03-20,1728,Class B,54,55,1,58,49,1
2020-03-21,1632,Class B,51,50,1,54,53,1
2020-03-21,1264,Class D,42,52,1,40,51,1
2020-03-21,1200,Class D,45,52,1,34,52,1
2020-03-22,1680,Class B,57,49,1,51,54,1
2020-03-22,1408,Class C,37,56,1,54,47,1
2020-03-23,2035,Expert,71,51,1,56,49,1
2020-03-26,1456,Class C,44,48,1,51,56,1
2020-03-28,1248,Class D,43,53,1,39,51,1
2020-03-28,1376,Class D,40,50,1,50,54,1
2020-03-28,1520,Class C,62,59,1,35,43,1
2020-03-31,1552,Class C,56,47,1,44,56,1
2020-04-01,1808,Class A,61,57,1,57,48,1
2020-04-01,1712,Class B,52,49,1,56,52,1
2020-04-02,1232,Class D,43,58,1,38,46,1
2020-04-02,1664,Class B,62,52,1,45,51,1
2020-04-02,1584,Class C,52,60,1,50,43,1
2020-04-02,1664,Class B,59,53,1,48,50,1
2020-04-02,1616,Class B,53,56,1,51,47,1
2020-04-03,1280,Class D,44,53,1,39,50,1
2020-04-03,1600,Class B,54,43,1,50,61,1
2020-04-04,2017,Expert,76,51,1,51,50,1
2020-04-07,1728,Class B,65,46,1,46,57,1
2020-04-08,1984,Class A,71,54,1,53,46,1
2020-04-08,1585,Class C,55,57,1,48,47,1
2020-04-09,1856,Class A,49,46,1,70,57,1
2020-04-09,1504,Class C,50,55,1,47,48,1
2020-04-09,1935,Class A,55,49,1,60,45,1
2020-04-09,1950,Class A,65,49,1,54,48,1
2020-04-10,1472,Class C,43,52,1,52,51,1
2020-04-11,1488,Class C,57,50,1,40,54,1
2020-04-11,1504,Class C,59,58,1,39,46,1
2020-04-12,1568,Class C,49,48,1,53,56,1
2020-04-13,1824,Class A,59,44,1,58,59,1
2020-04-14,1376,Class D,43,49,1,45,53,1
2020-04-15,1616,Class B,53,60,1,51,43,1
2020-04-15,1440,Class C,48,54,1,45,49,1
2020-04-15,1696,Class B,55,48,1,55,56,1
2020-04-16,1968,Class A,63,55,1,59,44,1
2020-04-17,1392,Class D,51,50,1,39,53,1
2020-04-19,1760,Class B,58,60,1,56,44,1
2020-04-21,1472,Class C,49,46,1,46,57,1
2020-04-21,1632,Class B,55,57,1,51,47,1
2020-04-23,1903,Class A,51,54,1,63,41,1
2020-04-23,1872,Class A,50,46,1,56,43,1
2020-04-24,1328,Class D,42,50,1,41,50,1
